#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
919,Walmart,WMT,$144.90,"$404,053.34",Retail Trade,Food Retail,NYSE,
920,WestRock,WRK,$46.34,"$12,280.16",Process Industries,Containers/Packaging,NYSE,
921,White Mountains Insurance Group,WTM,"$1,038.00","$3,132.45",Finance,Multi-Line Insurance,NYSE,
922,Western Union,WU,$16.40,"$6,592.91",Finance,Finance/Rental/Leasing,NYSE,
923,World Wrestling Entertainment,WWE,$51.37,"$3,894.72",Consumer Services,Movies/Entertainment,NYSE,
924,Weyerhaeuser Co.,WY,$38.42,"$28,778.30",Finance,Real Estate Investment Trusts,NYSE,
925,Wynn Resorts,WYNN,$85.69,"$9,910.72",Consumer Services,Casinos/Gaming,NASDAQ,
926,United States Steel,X,$24.27,"$6,558.55",Non-Energy Minerals,Steel,NYSE,
927,Xcel Energy,XEL,$64.76,"$34,884.63",Utilities,Electric Utilities,NASDAQ,
928,Exagen,XGN,$11.02,$178.13,Health Services,Medical/Nursing Services,NASDAQ,
929,Xilinx,XLNX,$223.95,"$55,512.81",Electronic Technology,Semiconductors,NASDAQ,
930,Qualtrics International,XM,$33.88,"$18,404.70",Technology Services,Packaged Software,NASDAQ,
931,Exxon Mobil,XOM,$61.25,"$259,305.92",Energy Minerals,Integrated Oil,NYSE,
932,XP,XP,$29.56,"$16,643.64",Technology Services,Internet Software/Services,NASDAQ,
933,Xpeng,XPEV,$51.11,"$43,777.84",Consumer Durables,Motor Vehicles,NYSE,
934,DPCM Capital Inc.,XPOA,$9.86,$369.75,Finance,Financial Conglomerates,NYSE,
935,Xerox,XRX,$19.26,"$3,438.14",Electronic Technology,Computer Peripherals,NYSE,
936,YETI Holdings Inc,YETI,$96.87,"$8,489.87",Producer Manufacturing,Miscellaneous Manufacturing,NYSE,
937,YPF,YPF,$3.43,"$298,878.28",Energy Minerals,Integrated Oil,NYSE,
